"Region","Name","Mean","Lower bound","Upper bound"
"Indo-Pacific","Hard Coral (massive)",22.27,19.68,25.06
"Indo-Pacific","Hard Substrate",-0.475,-0.475,-0.475
"Indo-Pacific","Heliopora",7.58,5.5,9.67
"Indo-Pacific","Hydnophora",19.51,17.62,21.36
"Indo-Pacific","Isopora",3.24,2.81,3.73
"Indo-Pacific","Leptastrea",5.15,3.69,7.43
"Indo-Pacific","Leptoria",3.2,2.67,3.86
"Indo-Pacific","Leptoseris",4.13,3.53,4.82
"Indo-Pacific","Lobophyllia",10.15,9.17,11.11
"Indo-Pacific","Merulina",9.15,8.47,9.87
"Indo-Pacific","Millepora",13.13,11.8,14.53
"Indo-Pacific","Montipora",10.47,8.27,12.97
"Indo-Pacific","Montipora (branching)",15.75,11.41,20.26
"Indo-Pacific","Montipora (encrusting)",8.29,6.89,10.3
"Indo-Pacific","Montipora (foliose)",7.37,6.52,8.34
"Indo-Pacific","Oulophyllia",54.1,49.75,58.65
"Indo-Pacific","Pachyseris",9.25,8.56,9.95
"Indo-Pacific","Phymastrea",1.36,1.21,1.51
"Indo-Pacific","Platygyra",16.23,14.58,18.03
"Indo-Pacific","Plerogyra",7.42,6.95,7.89
"Indo-Pacific","Pocillopora",17.3,12.3,22.35
"Indo-Pacific","Porites",10.77,9.13,12.56
"Indo-Pacific","Porites (branching)",10.24,7.34,13.24
"Indo-Pacific","Porites (massive)",23.2,20.85,25.73
"Indo-Pacific","Psammocora",8.25,6.62,10.33
"Indo-Pacific","Stylophora",10.59,7.57,13.62
"Indo-Pacific","Symphyllia",29.54,26.66,32.43
"Indo-Pacific","Turbinaria (coral)",7.16,6.23,8.22
"Indo-Pacific","Turf on rubble",-0.475,-0.475,-0.475
"Atlantic","Acropora",33.29,25.12,41.38
"Atlantic","Acropora cervicornis",44.22,37.83,52.18
"Atlantic","Acropora palmata",18.4,13.31,24.31
"Atlantic","Acropora prolifera",13.32,9.62,17.09
"Atlantic","Agaricia",7.59,6.53,8.96
"Atlantic","Agaricia agaricites",9.34,8.38,10.29
"Atlantic","Agaricia fragilis",10.09,7.66,13.63
"Atlantic","Agaricia grahamae",7.94,6.41,9.75
"Atlantic","Agaricia humilis",9.56,8.58,10.51
"Atlantic","Agaricia lamarcki",3.96,3.08,5.36
"Atlantic","Agaricia tenuifolia",0.83,0.74,0.93
"Atlantic","Agaricia undata",8.55,6.64,11.1
"Atlantic","Bare Rock",-0.24,-0.24,-0.24
"Atlantic","Biofilmed Rock",-0.24,-0.24,-0.24
"Atlantic","CCA (crustose coralline algae)",-0.01,-0.04,0.03
"Atlantic","Cladocora arbuscula",5.43,3.86,6.96
"Atlantic","Cliona",-5.17,-7.3,-3.04
"Atlantic","Cliona californiana",-5.17,-7.3,-3.04
"Atlantic","Cliona celata",-5.17,-7.3,-3.04
"Atlantic","Cliona delitrix",-10.48,-10.48,-10.48
"Atlantic","Cliona sp.",-5.17,-7.3,-3.04
"Atlantic","Cliona spp.",-5.17,-7.3,-3.04
"Atlantic","Clionid spp.",-5.17,-7.3,-3.04
"Atlantic","Colpophyllia natans",7.04,6.6,7.5
"Atlantic","Coral:Rock",-0.24,-0.24,-0.24
"Atlantic","Dendrogyra cylindrus",3.99,3.9,4.08
"Atlantic","Dichocoenia stokesi",3,2.55,3.5
"Atlantic","Diploria labyrinthiformis",9.31,8.71,9.87
"Atlantic","EAM: Rock or Substrate",-0.24,-0.24,-0.24
"Atlantic","Endolithic Algae on Rock",-0.24,-0.24,-0.24
"Atlantic","Eusmilia fastigiata",0.93,0.67,1.19
"Atlantic","Excavating Bite Scar",-0.01,0.02,-0.04
"Atlantic","Exposed Rock",-0.24,-0.24,-0.24
"Atlantic","Favia",8.46,8.34,8.59
"Atlantic","Favia fragum",8.46,8.34,8.6
"Atlantic","Green Rock",-0.24,-0.24,-0.24
"Atlantic","Hard coral",4.86,4.22,5.57
"Atlantic","Hard Coral (branching)",1.17,0.84,1.51
"Atlantic","Hard Coral (encrusting)",2.43,1.92,3.1
"Atlantic","Hard Coral (foliose)",5.27,4.63,6
"Atlantic","Hard Coral (massive)",11.84,10.44,13.37
"Atlantic","Helioseris cucullata",3.68,3.52,3.83
"Atlantic","Isophyllia",8.07,7.57,8.56
"Atlantic","Isophyllia rigida",6.02,5.61,6.43
"Atlantic","Isophyllia sinuosa",10.32,9.75,10.91
"Atlantic","Lightly Biofilmed Rock",-0.24,-0.24,-0.24
"Atlantic","Macroalgae: Laminate: red: peysonnelia",-0.01,-0.04,0.03
"Atlantic","Madracis",20.14,16.79,24.04
"Atlantic","Madracis auretenra",4.36,3.1,5.56
"Atlantic","Madracis carmabi",7.4,5.32,9.52
"Atlantic","Madracis decactis",46.91,31.58,69.22
"Atlantic","Madracis formosa",5.51,3.97,7.06
"Atlantic","Madracis pharensis",68.1,59.53,78.02
"Atlantic","Madracis senaria",67.67,59.23,77.59
"Atlantic","Manicina areolata",18.82,18.48,19.2
"Atlantic","Meandrina",3.18,2.73,3.62
"Atlantic","Meandrina meandrites",2.84,2.58,3.11
"Atlantic","Millepora",4.27,3.45,5.32
"Atlantic","Millepora alcicornis",0.68,0.49,0.88
"Atlantic","Millepora complanata",2.5,1.81,3.41
"Atlantic","Millepora squarrosa",11.18,9.08,13.97
"Atlantic","Montastraea",11.64,10.08,13.16
"Atlantic","Montastraea cavernosa",11.54,10,13.09
"Atlantic","Mussa angulosa",11.25,11.25,11.25
"Atlantic","Mycetophyllia",3.98,3.62,4.35
"Atlantic","Mycetophyllia aliciae",3.29,3,3.59
"Atlantic","Mycetophyllia danaana",2.83,2.51,3.16
"Atlantic","Mycetophyllia ferox",3.12,2.82,3.43
"Atlantic","Mycetophyllia lamarckana",6.64,6,7.36
"Atlantic","Oculina",1.06,0.77,1.37
"Atlantic","Oculina diffusa",1.06,0.76,1.37
"Atlantic","Orbicella",23.53,21.51,25.88
"Atlantic","Orbicella annularis",32.51,29.24,36.17
"Atlantic","Orbicella faveolata",25.69,22.18,29.24
"Atlantic","Orbicella franksi",12.7,12.38,13.22
"Atlantic","Porites",5.07,4.57,5.63
"Atlantic","Porites astreoides",9.72,8.37,11.15
"Atlantic","Porites branneri",10.23,9.19,11.27
"Atlantic","Porites colonensis",5.6,4.95,6.33
"Atlantic","Porites divaricata",1.86,1.34,2.41
"Atlantic","Porites furcata",2.04,1.47,2.61
"Atlantic","Porites porites",3.02,2.19,3.86
"Atlantic","Pseudodiploria",10.65,9.27,12.02
"Atlantic","Pseudodiploria clivosa",9.93,8.79,11.08
"Atlantic","Pseudodiploria strigosa",11.44,9.8,13.03
"Atlantic","Rock",-0.24,-0.24,-0.24
"Atlantic","Rock Crustose Coralline Algae",-0.01,-0.04,0.03
"Atlantic","Rock Turf Algae",-0.24,-0.24,-0.24
"Atlantic","Rock_Pavement",-0.24,-0.24,-0.24
"Atlantic","Scolymia",10.36,9.61,11.15
"Atlantic","Scolymia cubensis",9.9,9.18,10.67
"Atlantic","Scolymia lacera",10.73,9.95,11.53
"Atlantic","Siderastrea",5.39,4.97,5.84
"Atlantic","Siderastrea radians",3.12,2.98,3.31
"Atlantic","Siderastrea siderea",8.06,7.22,8.9
"Atlantic","Smothered Rock",-0.24,-0.24,-0.24
"Atlantic","Solenastrea",12.33,11.61,13.06
"Atlantic","Solenastrea bournoni",17.08,16.67,17.55
"Atlantic","Solenastrea hyades",5.69,5.11,6.28
"Atlantic","Sponge: Cliona",-5.17,-7.3,-3.04
"Atlantic","Stephanocoenia intersepta",5.21,4.87,5.56
"Atlantic","Stylaster roseus",0.83,0.6,1.07
"Atlantic","Substrate: Consolidated (hard) Rock",-0.24,-0.24,-0.24
"Atlantic","Thick Sediment Over Rock",-0.24,-0.24,-0.24
"Atlantic","Thin Sediment over Rock",-0.24,-0.24,-0.24
"Atlantic","Thin Turf/Biofilm on Rock",-0.24,-0.24,-0.24
"Atlantic","Tubastraea",1.17,0.84,1.51
"Atlantic","Tubastraea coccinea",1.17,0.85,1.52
"Atlantic","Very Thin Sediment over Rock",-0.24,-0.24,-0.24
